246 loss is [0.21622545], paramters w:[4.25601515], b:[-0.01877586]
247 loss is [0.21296408], paramters w:[4.26165774], b:[-0.01782782]
248 loss is [0.20975191], paramters w:[4.26725739], b:[-0.01688568]
249 loss is [0.20658821], paramters w:[4.27281443], b:[-0.01594944]
250 loss is [0.20347225], paramters w:[4.27832919], b:[-0.01501907]
251 loss is [0.20040329], paramters w:[4.28380198], b:[-0.01409455]
252 loss is [0.19738064], paramters w:[4.28923313], b:[-0.01317587]
253 loss is [0.19440359], paramters w:[4.29462297], b:[-0.01226299]
254 loss is [0.19147145], paramters w:[4.2999718], b:[-0.01135592]
255 loss is [0.18858355], paramters w:[4.30527994], b:[-0.01045461]
256 loss is [0.18573922], paramters w:[4.31054771], b:[-0.00955905]
257 loss is [0.1829378], paramters w:[4.31577541], b:[-0.00866922]
258 loss is [0.18017864], paramters w:[4.32096335], b:[-0.00778509]
259 loss is [0.17746111], paramters w:[4.32611184], b:[-0.00690665]
260 loss is [0.17478458], paramters w:[4.33122118], b:[-0.00603387]
261 loss is [0.17214842], paramters w:[4.33629167], b:[-0.00516673]
262 loss is [0.16955203], paramters w:[4.3413236], b:[-0.00430521]
263 loss is [0.16699481], paramters w:[4.34631727], b:[-0.00344928]
264 loss is [0.16447616], paramters w:[4.35127298], b:[-0.00259891]
265 loss is [0.16199551], paramters w:[4.35619101], b:[-0.0017541]
266 loss is [0.15955228], paramters w:[4.36107166], b:[-0.0009148]
267 loss is [0.15714591], paramters w:[4.36591521], b:[-8.10059381e-05]
268 loss is [0.15477584], paramters w:[4.37072194], b:[0.00074732]
269 loss is [0.15244152], paramters w:[4.37549214], b:[0.00157019]
270 loss is [0.15014241], paramters w:[4.38022608], b:[0.00238764]
271 loss is [0.14787798], paramters w:[4.38492405], b:[0.00319968]
272 loss is [0.14564771], paramters w:[4.38958632], b:[0.00400636]
273 loss is [0.14345108], paramters w:[4.39421316], b:[0.00480768]
274 loss is [0.14128759], paramters w:[4.39880484], b:[0.00560367]
275 loss is [0.13915673], paramters w:[4.40336163], b:[0.00639437]
276 loss is [0.13705801], paramters w:[4.4078838], b:[0.00717979]
277 loss is [0.13499095], paramters w:[4.41237162], b:[0.00795996]
278 loss is [0.13295507], paramters w:[4.41682534], b:[0.0087349]
279 loss is [0.1309499], paramters w:[4.42124522], b:[0.00950465]
280 loss is [0.12897497], paramters w:[4.42563153], b:[0.01026922]
281 loss is [0.12702983], paramters w:[4.42998453], b:[0.01102865]
282 loss is [0.12511403], paramters w:[4.43430446], b:[0.01178296]
283 loss is [0.12322713], paramters w:[4.43859158], b:[0.01253217]
284 loss is [0.12136869], paramters w:[4.44284614], b:[0.01327631]
285 loss is [0.11953828], paramters w:[4.44706838], b:[0.01401541]
286 loss is [0.11773548], paramters w:[4.45125857], b:[0.01474949]
287 loss is [0.11595987], paramters w:[4.45541693], b:[0.01547859]
288 loss is [0.11421104], paramters w:[4.45954372], b:[0.01620271]
289 loss is [0.11248859], paramters w:[4.46363917], b:[0.0169219]
290 loss is [0.11079212], paramters w:[4.46770352], b:[0.01763618]
291 loss is [0.10912124], paramters w:[4.47173701], b:[0.01834557]
292 loss is [0.10747556], paramters w:[4.47573988], b:[0.0190501]
293 loss is [0.1058547], paramters w:[4.47971237], b:[0.0197498]
294 loss is [0.10425829], paramters w:[4.48365469], b:[0.0204447]
295 loss is [0.10268595], paramters w:[4.48756708], b:[0.02113481]
296 loss is [0.10113733], paramters w:[4.49144978], b:[0.02182017]
297 loss is [0.09961207], paramters w:[4.495303], b:[0.0225008]
298 loss is [0.09810981], paramters w:[4.49912698], b:[0.02317673]
299 loss is [0.09663021], paramters w:[4.50292192], b:[0.02384798]
300 loss is [0.09517292], paramters w:[4.50668807], b:[0.02451459]
301 loss is [0.09373762], paramters w:[4.51042563], b:[0.02517658]
302 loss is [0.09232396], paramters w:[4.51413483], b:[0.02583397]
303 loss is [0.09093162], paramters w:[4.51781587], b:[0.02648679]
304 loss is [0.08956028], paramters w:[4.52146898], b:[0.02713506]
305 loss is [0.08820963], paramters w:[4.52509437], b:[0.02777882]
306 loss is [0.08687934], paramters w:[4.52869225], b:[0.02841809]
307 loss is [0.08556912], paramters w:[4.53226283], b:[0.0290529]
308 loss is [0.08427866], paramters w:[4.53580631], b:[0.02968327]
309 loss is [0.08300766], paramters w:[4.5393229], b:[0.03030922]
310 loss is [0.08175583], paramters w:[4.54281282], b:[0.03093079]
311 loss is [0.08052288], paramters w:[4.54627625], b:[0.031548]
312 loss is [0.07930853], paramters w:[4.54971341], b:[0.03216088]
313 loss is [0.07811249], paramters w:[4.5531245], b:[0.03276945]
314 loss is [0.07693449], paramters w:[4.5565097], b:[0.03337373]
315 loss is [0.07577425], paramters w:[4.55986922], b:[0.03397376]
316 loss is [0.07463152], paramters w:[4.56320326], b:[0.03456956]
317 loss is [0.07350601], paramters w:[4.56651201], b:[0.03516115]
318 loss is [0.07239749], paramters w:[4.56979565], b:[0.03574856]
319 loss is [0.07130568], paramters w:[4.57305439], b:[0.03633182]
320 loss is [0.07023033], paramters w:[4.57628842], b:[0.03691095]
321 loss is [0.06917121], paramters w:[4.57949791], b:[0.03748598]
322 loss is [0.06812805], paramters w:[4.58268306], b:[0.03805693]
323 loss is [0.06710063], paramters w:[4.58584405], b:[0.03862383]
324 loss is [0.06608871], paramters w:[4.58898107], b:[0.0391867]
325 loss is [0.06509204], paramters w:[4.59209429], b:[0.03974557]
326 loss is [0.06411041], paramters w:[4.59518391], b:[0.04030046]
327 loss is [0.06314358], paramters w:[4.59825009], b:[0.0408514]
328 loss is [0.06219133], paramters w:[4.60129302], b:[0.04139841]
329 loss is [0.06125345], paramters w:[4.60431288], b:[0.04194151]
330 loss is [0.0603297], paramters w:[4.60730984], b:[0.04248075]
331 loss is [0.05941989], paramters w:[4.61028407], b:[0.04301612]
332 loss is [0.0585238], paramters w:[4.61323575], b:[0.04354767]
333 loss is [0.05764123], paramters w:[4.61616504], b:[0.04407541]
334 loss is [0.05677196], paramters w:[4.61907213], b:[0.04459938]
335 loss is [0.0559158], paramters w:[4.62195717], b:[0.04511959]
336 loss is [0.05507256], paramters w:[4.62482034], b:[0.04563606]
337 loss is [0.05424203], paramters w:[4.6276618], b:[0.04614883]
338 loss is [0.05342403], paramters w:[4.63048172], b:[0.04665792]
339 loss is [0.05261836], paramters w:[4.63328025], b:[0.04716334]
340 loss is [0.05182485], paramters w:[4.63605757], b:[0.04766513]
341 loss is [0.0510433], paramters w:[4.63881384], b:[0.04816331]
342 loss is [0.05027354], paramters w:[4.64154921], b:[0.04865789]
343 loss is [0.04951538], paramters w:[4.64426384], b:[0.04914892]
344 loss is [0.04876866], paramters w:[4.6469579], b:[0.0496364]
345 loss is [0.0480332], paramters w:[4.64963153], b:[0.05012036]
346 loss is [0.04730884], paramters w:[4.65228489], b:[0.05060082]
347 loss is [0.04659539], paramters w:[4.65491814], b:[0.05107781]
348 loss is [0.04589271], paramters w:[4.65753143], b:[0.05155136]
349 loss is [0.04520062], paramters w:[4.66012492], b:[0.05202147]
350 loss is [0.04451898], paramters w:[4.66269874], b:[0.05248818]
351 loss is [0.04384761], paramters w:[4.66525305], b:[0.05295151]
352 loss is [0.04318636], paramters w:[4.66778801], b:[0.05341149]
353 loss is [0.04253509], paramters w:[4.67030375], b:[0.05386812]
354 loss is [0.04189364], paramters w:[4.67280042], b:[0.05432144]
355 loss is [0.04126186], paramters w:[4.67527817], b:[0.05477147]
356 loss is [0.04063961], paramters w:[4.67773714], b:[0.05521823]
357 loss is [0.04002675], paramters w:[4.68017748], b:[0.05566173]
358 loss is [0.03942312], paramters w:[4.68259932], b:[0.05610202]
359 loss is [0.0388286], paramters w:[4.6850028], b:[0.0565391]
360 loss is [0.03824305], paramters w:[4.68738808], b:[0.05697299]
361 loss is [0.03766633], paramters w:[4.68975527], b:[0.05740373]
362 loss is [0.0370983], paramters w:[4.69210453], b:[0.05783132]
363 loss is [0.03653884], paramters w:[4.69443598], b:[0.0582558]
364 loss is [0.03598782], paramters w:[4.69674976], b:[0.05867718]
365 loss is [0.0354451], paramters w:[4.69904602], b:[0.05909548]
366 loss is [0.03491058], paramters w:[4.70132487], b:[0.05951073]
367 loss is [0.03438411], paramters w:[4.70358645], b:[0.05992294]
368 loss is [0.03386558], paramters w:[4.70583089], b:[0.06033214]
369 loss is [0.03335487], paramters w:[4.70805833], b:[0.06073834]
370 loss is [0.03285187], paramters w:[4.71026889], b:[0.06114158]
371 loss is [0.03235645], paramters w:[4.7124627], b:[0.06154186]
372 loss is [0.0318685], paramters w:[4.71463989], b:[0.06193921]
373 loss is [0.0313879], paramters w:[4.71680058], b:[0.06233364]
