107 loss is 13.299160957336426, paramters w:0.040737465023994446, b:-0.028009524568915367
108 loss is 13.297094345092773, paramters w:0.041113127022981644, b:-0.02826540730893612
109 loss is 13.295028686523438, paramters w:0.041488759219646454, b:-0.028521226719021797
110 loss is 13.292963981628418, paramters w:0.041864365339279175, b:-0.0287769827991724
111 loss is 13.290901184082031, paramters w:0.04223994165658951, b:-0.02903267741203308
112 loss is 13.288836479187012, paramters w:0.04261549189686775, b:-0.029288308694958687
113 loss is 13.286773681640625, paramters w:0.04299101233482361, b:-0.02954387664794922
114 loss is 13.284710884094238, paramters w:0.043366506695747375, b:-0.029799381271004677
115 loss is 13.282649040222168, paramters w:0.043741971254348755, b:-0.03005482256412506
116 loss is 13.280588150024414, paramters w:0.044117409735918045, b:-0.03031020052731037
117 loss is 13.278528213500977, paramters w:0.04449281841516495, b:-0.030565517023205757
118 loss is 13.276466369628906, paramters w:0.04486820101737976, b:-0.03082077018916607
119 loss is 13.274404525756836, paramters w:0.045243553817272186, b:-0.031075960025191307
120 loss is 13.272348403930664, paramters w:0.04561888054013252, b:-0.03133108839392662
121 loss is 13.270288467407227, paramters w:0.04599417746067047, b:-0.03158615157008171
122 loss is 13.268228530883789, paramters w:0.04636944457888603, b:-0.03184115141630173
123 loss is 13.2661714553833, paramters w:0.046744685620069504, b:-0.03209609165787697
124 loss is 13.26411247253418, paramters w:0.04711989685893059, b:-0.032350968569517136
125 loss is 13.262057304382324, paramters w:0.04749508202075958, b:-0.03260578215122223
126 loss is 13.260000228881836, paramters w:0.04787023738026619, b:-0.03286053240299225
127 loss is 13.25794506072998, paramters w:0.04824536666274071, b:-0.033115219324827194
128 loss is 13.255889892578125, paramters w:0.04862046614289284, b:-0.033369842916727066
129 loss is 13.253835678100586, paramters w:0.04899553954601288, b:-0.033624403178691864
130 loss is 13.251782417297363, paramters w:0.04937058314681053, b:-0.03387890011072159
131 loss is 13.249728202819824, paramters w:0.049745600670576096, b:-0.03413333743810654
132 loss is 13.247674942016602, paramters w:0.05012058839201927, b:-0.03438771143555641
133 loss is 13.245622634887695, paramters w:0.05049555003643036, b:-0.03464202210307121
134 loss is 13.243570327758789, paramters w:0.05087048187851906, b:-0.03489626944065094
135 loss is 13.2415189743042, paramters w:0.05124538764357567, b:-0.03515045344829559
136 loss is 13.239466667175293, paramters w:0.05162026360630989, b:-0.03540457412600517
137 loss is 13.237417221069336, paramters w:0.051995113492012024, b:-0.03565863519906998
138 loss is 13.235366821289062, paramters w:0.05236993357539177, b:-0.03591263294219971
139 loss is 13.233317375183105, paramters w:0.052744727581739426, b:-0.03616656735539436
140 loss is 13.231267929077148, paramters w:0.053119491785764694, b:-0.036420438438653946
141 loss is 13.229220390319824, paramters w:0.053494229912757874, b:-0.036674246191978455
142 loss is 13.2271728515625, paramters w:0.053868938237428665, b:-0.03692799061536789
143 loss is 13.225125312805176, paramters w:0.05424362048506737, b:-0.03718167543411255
144 loss is 13.223077774047852, paramters w:0.05461827293038368, b:-0.037435296922922134
145 loss is 13.221033096313477, paramters w:0.05499289929866791, b:-0.037688855081796646
146 loss is 13.218988418579102, paramters w:0.055367495864629745, b:-0.037942349910736084
147 loss is 13.216941833496094, paramters w:0.055742066353559494, b:-0.03819578140974045
148 loss is 13.214897155761719, paramters w:0.056116607040166855, b:-0.03844915330410004
149 loss is 13.212852478027344, paramters w:0.056491121649742126, b:-0.03870246186852455
150 loss is 13.210809707641602, paramters w:0.05686560645699501, b:-0.03895570710301399
151 loss is 13.208765983581543, paramters w:0.057240065187215805, b:-0.03920888900756836
152 loss is 13.206724166870117, paramters w:0.05761449411511421, b:-0.03946201130747795
153 loss is 13.204681396484375, paramters w:0.05798889696598053, b:-0.03971507027745247
154 loss is 13.20263957977295, paramters w:0.05836327001452446, b:-0.03996806591749191
155 loss is 13.200599670410156, paramters w:0.0587376169860363, b:-0.04022099822759628
156 loss is 13.198559761047363, paramters w:0.059111934155225754, b:-0.04047387093305588
157 loss is 13.196517944335938, paramters w:0.05948622524738312, b:-0.0407266803085804
158 loss is 13.194478988647461, paramters w:0.059860486537218094, b:-0.040979426354169846
159 loss is 13.1924409866333, paramters w:0.06023472175002098, b:-0.04123210906982422
160 loss is 13.190402030944824, paramters w:0.06060892716050148, b:-0.04148472845554352
161 loss is 13.188364028930664, paramters w:0.06098310649394989, b:-0.04173728823661804
162 loss is 13.186327934265137, paramters w:0.06135725602507591, b:-0.04198978468775749
163 loss is 13.184289932250977, paramters w:0.061731379479169846, b:-0.04224221780896187
164 loss is 13.18225383758545, paramters w:0.06210547313094139, b:-0.04249459132552147
165 loss is 13.180218696594238, paramters w:0.06247954070568085, b:-0.042746901512145996
166 loss is 13.178182601928711, paramters w:0.06285358220338821, b:-0.04299914836883545
167 loss is 13.1761474609375, paramters w:0.0632275938987732, b:-0.04325133189558983
168 loss is 13.174115180969238, paramters w:0.06360157579183578, b:-0.04350345581769943
169 loss is 13.172080993652344, paramters w:0.06397552788257599, b:-0.04375551640987396
170 loss is 13.17004680633545, paramters w:0.0643494576215744, b:-0.04400751367211342
171 loss is 13.168014526367188, paramters w:0.06472335755825043, b:-0.0442594513297081
172 loss is 13.165982246398926, paramters w:0.06509722769260406, b:-0.044511325657367706
173 loss is 13.163952827453613, paramters w:0.06547106802463531, b:-0.04476313665509224
174 loss is 13.161920547485352, paramters w:0.06584488600492477, b:-0.0450148843228817
175 loss is 13.159889221191406, paramters w:0.06621867418289185, b:-0.04526657238602638
176 loss is 13.157859802246094, paramters w:0.06659243255853653, b:-0.04551819711923599
177 loss is 13.155830383300781, paramters w:0.06696616858243942, b:-0.04576975852251053
178 loss is 13.153800964355469, paramters w:0.06733987480401993, b:-0.04602126032114029
179 loss is 13.151773452758789, paramters w:0.06771355122327805, b:-0.046272698789834976
180 loss is 13.149746894836426, paramters w:0.06808719784021378, b:-0.04652407392859459
181 loss is 13.147717475891113, paramters w:0.06846082210540771, b:-0.04677538946270943
182 loss is 13.14569091796875, paramters w:0.06883441656827927, b:-0.04702664166688919
183 loss is 13.143664360046387, paramters w:0.06920798122882843, b:-0.04727783054113388
184 loss is 13.141637802124023, paramters w:0.0695815160870552, b:-0.047528959810733795
185 loss is 13.139615058898926, paramters w:0.06995502859354019, b:-0.047780025750398636
186 loss is 13.137588500976562, paramters w:0.07032851129770279, b:-0.0480310283601284
187 loss is 13.135563850402832, paramters w:0.070701964199543, b:-0.048281971365213394
188 loss is 13.133539199829102, paramters w:0.07107538729906082, b:-0.04853285104036331
189 loss is 13.131518363952637, paramters w:0.07144878804683685, b:-0.048783667385578156
190 loss is 13.129495620727539, paramters w:0.0718221589922905, b:-0.049034424126148224
191 loss is 13.127471923828125, paramters w:0.07219550013542175, b:-0.04928511753678322
192 loss is 13.125452041625977, paramters w:0.07256881892681122, b:-0.04953575134277344
193 loss is 13.123430252075195, paramters w:0.0729421079158783, b:-0.04978632181882858
194 loss is 13.121408462524414, paramters w:0.07331536710262299, b:-0.050036828964948654
195 loss is 13.11938762664795, paramters w:0.07368859648704529, b:-0.05028727650642395
196 loss is 13.1173677444458, paramters w:0.0740618035197258, b:-0.05053766071796417
197 loss is 13.115350723266602, paramters w:0.07443498075008392, b:-0.05078798159956932
198 loss is 13.11333179473877, paramters w:0.07480812817811966, b:-0.051038242876529694
199 loss is 13.111312866210938, paramters w:0.07518124580383301, b:-0.05128844082355499
200 loss is 13.109295845031738, paramters w:0.07555434107780457, b:-0.051538579165935516
201 loss is 13.107278823852539, paramters w:0.07592740654945374, b:-0.051788654178380966
202 loss is 13.105262756347656, paramters w:0.07630044221878052, b:-0.05203866586089134
203 loss is 13.103246688842773, paramters w:0.07667345553636551, b:-0.05228861793875694
204 loss is 13.101231575012207, paramters w:0.07704643905162811, b:-0.05253850668668747
205 loss is 13.099215507507324, paramters w:0.07741939276456833, b:-0.05278833582997322
206 loss is 13.097201347351074, paramters w:0.07779231667518616, b:-0.0530381016433239
207 loss is 13.095187187194824, paramters w:0.0781652182340622, b:-0.0532878041267395
208 loss is 13.093174934387207, paramters w:0.07853808999061584, b:-0.05353744700551033
209 loss is 13.091160774230957, paramters w:0.0789109319448471, b:-0.053787026554346085
210 loss is 13.089147567749023, paramters w:0.07928374409675598, b:-0.054036546498537064
211 loss is 13.087137222290039, paramters w:0.07965653389692307, b:-0.05428600311279297
212 loss is 13.085125923156738, paramters w:0.08002929389476776, b:-0.0545354001224041
213 loss is 13.083114624023438, paramters w:0.08040202409029007, b:-0.054784733802080154
214 loss is 13.081103324890137, paramters w:0.08077473193407059, b:-0.055034007877111435
215 loss is 13.079093933105469, paramters w:0.08114740997552872, b:-0.05528321862220764
216 loss is 13.077085494995117, paramters w:0.08152005821466446, b:-0.055532366037368774
217 loss is 13.07507610321045, paramters w:0.08189267665147781, b:-0.05578145384788513
218 loss is 13.073068618774414, paramters w:0.08226527273654938, b:-0.056030478328466415
219 loss is 13.071060180664062, paramters w:0.08263783901929855, b:-0.056279443204402924
220 loss is 13.069053649902344, paramters w:0.08301037549972534, b:-0.05652834475040436
221 loss is 13.067047119140625, paramters w:0.08338288962841034, b:-0.05677718669176102
222 loss is 13.065038681030273, paramters w:0.08375537395477295, b:-0.0570259653031826
223 loss is 13.063034057617188, paramters w:0.08412782847881317, b:-0.05727468430995941
224 loss is 13.061029434204102, paramters w:0.084500253200531, b:-0.05752333998680115
225 loss is 13.0590238571167, paramters w:0.08487265557050705, b:-0.05777193605899811
226 loss is 13.05702018737793, paramters w:0.0852450281381607, b:-0.058020468801259995
227 loss is 13.055017471313477, paramters w:0.08561737090349197, b:-0.058268941938877106
228 loss is 13.053013801574707, paramters w:0.08598969131708145, b:-0.05851735174655914
229 loss is 13.05101203918457, paramters w:0.08636198192834854, b:-0.058765701949596405
230 loss is 13.049009323120117, paramters w:0.08673424273729324, b:-0.05901398882269859
231 loss is 13.047006607055664, paramters w:0.08710647374391556, b:-0.059262216091156006
232 loss is 13.045005798339844, paramters w:0.08747868239879608, b:-0.059510380029678345
233 loss is 13.043004989624023, paramters w:0.08785086125135422, b:-0.05975848436355591
234 loss is 13.04100513458252, paramters w:0.08822301030158997, b:-0.0600065253674984
235 loss is 13.039006233215332, paramters w:0.08859513700008392, b:-0.06025450676679611
236 loss is 13.037005424499512, paramters w:0.0889672338962555, b:-0.06050242483615875
